scaler,silhouette,davies_bouldin,calinski_harabasz,inertia
QuantileTransformer,0.2188140591136481,1.5722853369230214,1457.5755829933175,38365.75770641515
MinMaxScaler,0.21035157432730547,1.471313739893145,1055.8423934270425,953.0749621949703
StandardScaler,0.12591837972040112,1.7157251600142136,437.36502695708793,26240.98514060684
RobustScaler,0.11253020748388765,1.6573911434832755,599.3663934884233,15672.426168826738
