linkage,silhouette,davies_bouldin,calinski_harabasz
average,0.27634471187178217,0.940938305426729,836.8650372997579
complete,0.24183043058810635,1.322271529876425,1256.8281377781614
ward,0.19807911264636602,1.5367457762301457,1446.6535224518052
