PC1,PC2,cluster
-7.199596755299734,1.1185963104506684,4
3.7248578335404217,0.01710809638414612,2
3.6665455266496725,-0.09906282269892885,1
3.6964652220414917,0.47460263912156997,2
3.665597238308692,0.9253718943374024,2
3.7205023916373694,1.451932292038594,2
-7.17310449992865,1.57307985379007,4
3.5895000517867013,0.5166518149294118,1
3.5506245529910014,1.0559358488784993,13
3.7609741858316097,1.094924122915375,13
3.613907426798381,1.087359720956988,2
-6.665829855214603,1.5204654994450184,0
-6.829158197899513,0.6819192017983742,0
4.192713375746081,-0.02076299290249417,17
-6.647370426658636,0.684064410817106,0
3.612699624743054,1.4393017453229606,2
-6.559034024237984,1.3796347068911647,11
3.694573587007789,-3.9275065509213944,3
-6.617071624468441,2.3881230791604744,11
4.2027044687520165,1.7441741213913333,12
3.644451361633469,-4.1549960119071025,3
3.6205391198346684,2.7477675134731783,10
-6.645871206624889,-4.063102993058603,7
4.126100253999011,-4.331772668588571,9
-6.695624810909116,0.5631545188987215,0
3.647151047862468,1.499154129297973,2
-7.225736947859838,1.340580550221565,4
3.692669792000319,-4.113749007827741,3
3.728130801104328,0.634502623919032,13
3.665753822065499,1.351843441732248,2
3.6403400084303117,1.6734790335589325,2
3.655375899403915,0.9514805530851782,2
3.603700066731016,1.4077810564180462,2
-6.756711744296153,2.1983485590833136,0
3.613530592842106,1.398175498231729,2
-7.264337524800629,-4.20513201129575,15
-6.755561695034158,1.2207343040058758,0
4.148873595126212,0.2580403592821813,17
3.5812357674582733,0.40980731630070444,2
3.619807561365188,1.4441026101782612,2
3.753978534955759,1.395775287267021,13
-6.6570808975872,1.1865340992338693,0
-6.774400053448013,1.6237512110074315,0
3.6950605256621314,-4.478096368747943,3
-6.654577147274186,1.1050692921885956,0
-6.596394190107764,0.4686321729330296,0
-6.737456288025655,1.447684026749827,0
3.7581415571338708,1.6863235898732012,2
3.612354277560039,1.3848240324906933,2
-6.757901156040576,1.5044729941454087,0
3.6375142618166763,-4.464467602872204,3
3.599302803536288,1.6025173127121055,2
3.632514065893922,-4.449054265036195,3
3.5518413310708246,1.068733772506079,2
-6.598332792081144,2.162919088654947,11
3.6827446005101976,1.943222944262153,2
-6.588369627675331,1.0308290097533241,0
3.731608624300157,1.0482294465452964,2
-6.6482884782994125,1.486354591899098,0
-6.748062306612163,1.3649232692577749,0
4.16157702891333,0.3466771075958639,17
3.6512014307687233,1.73373518498896,2
-6.597820161439709,1.3942663840430471,0
-6.1868213024458,-4.410852734782943,18
3.6927541697280537,1.5621125400114622,2
-6.647341031922182,0.7583804668216041,0
3.6151449121225507,-4.475986717969744,3
3.746319323259349,1.3246336816042572,2
-6.781533552301145,0.5014210316853104,6
3.608106279083229,1.7346336612450273,2
-6.246676137588624,-4.617239423030514,18
4.160952375097956,1.0898641836023473,17
3.547625408345268,1.431117740805903,2
-6.7702445177507995,0.21512778583897574,6
-6.6486032074828705,1.7371096415578902,0
-6.671792178017543,0.5813881443748635,0
3.718421629094931,1.1560664495629587,2
3.739169623731633,0.8049727546478105,2
3.613708320889577,1.3484916315712219,2
-6.634794137075767,-4.467443612107124,7
3.1355434610809425,-3.43687200103474,16
4.177157464049925,0.21467915245406433,17
-6.658871200292108,1.1761929092185426,0
3.753950787977102,0.9841094817173788,13
-6.564814622112089,1.3364974406891086,0
-6.692673215633838,-3.9517200401298704,7
3.6193138449934237,-0.07995086746517,13
3.668648785424663,0.7791238334989286,2
3.7531039182060733,0.7696150350685262,2
3.6154698606236506,1.1474065741508743,2
3.710567671650063,0.9317246324694135,13
4.194248928342955,0.6778017551884785,12
3.095593512523216,-4.125843468768131,16
4.149482055851465,-0.16421409160796097,17
-6.648480383638461,1.1434452791968992,0
3.678825402156181,0.3706353401395054,2
3.5678132594209826,0.4210951602920062,13
3.576694016147715,0.7078667138366684,2
-6.625124884312065,0.23680529445375065,14
-6.612624636369774,0.3154024581374242,0
3.504259742518456,-4.168598717359723,3
-6.579901031004777,0.4604034249319568,6
-6.6662313706705865,-4.28646747213673,7
3.621624483213165,0.7720688014178674,2
-7.2465363462431,-4.092739942292996,15
-6.860871710318046,-4.4587442888896796,7
4.183645369828601,0.1507591109703862,12
-6.781533552301145,0.5014210316853104,6
-6.145739440518205,1.0485218622707282,18
-6.744353391770472,0.8555311277032347,0
3.7306783393708605,0.6321389632144644,13
