eps,min_samples,clusters,noise_pct,silhouette,davies_bouldin,calinski_harabasz
1.2,10,2,99.59885386819485,-0.39560788704629746,1.40561733964926,10.034932112738195
1.0,5,5,99.46513849092645,-0.46635527042814384,1.3568762550158207,4.410323027197146
1.2,5,36,94.11652340019103,-0.5939881691494827,1.4910028773382014,6.650850703222062
0.5,5,0,100.0,,,
0.5,10,0,100.0,,,
0.5,20,0,100.0,,,
0.8,5,0,100.0,,,
0.8,10,0,100.0,,,
0.8,20,0,100.0,,,
1.0,10,0,100.0,,,
1.0,20,0,100.0,,,
1.2,20,0,100.0,,,
